label,sms
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .   
ham,What happen dear. Why you silent. I am tensed   
ham,I can do that! I want to please you both inside and outside the bedroom...   
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy   "
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.   
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea   "
ham,U repeat e instructions again. Wat's e road name of ur house?   
ham,Yo dude guess who just got arrested the other day   
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info   
ham,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.   
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.   "
ham,"A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd  but watever u shared should be true\""....""  "
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay   
ham,No plm i will come da. On the way.   
ham,I had askd u a question some hours before. Its answer   
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX   
ham,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!   "
ham,Nothing. Can...   
ham,"If we hit it off, you can move in with me :)   "
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday   
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff.    "
ham,Dude sux for snake. He got old and raiden got buff   
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back   
spam,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011   "
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub   
ham,I dun believe u. I thk u told him.   
ham,"Don't worry, * is easy once have ingredients!   "
ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..   "
ham,Yes see ya not on the dot   
spam,ringtoneking 84484   
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270   
ham,No. But we'll do medical missions to nigeria   
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M   
ham,She.s find. I sent you an offline message to know how anjola's now.   
ham,I donno its in your genes or something   
ham,ÌÏ bot notes oredi... Cos i juz rem i got...   
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(   
ham,I though we shd go out n have some fun so bar in town or something ‰ÛÒ sound ok?   
ham,"I dont knw pa, i just drink milk..   "
ham,"Cool, text me when you head out   "
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW   
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone   
ham,U having lunch alone? I now so bored...   
ham,Hi. Hope you had a good day. Have a better night.   
ham,Nah im goin 2 the wrks with j wot bout u?   
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.   
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY   
ham,Saw Guys and Dolls last night with Patrick Swayze it was great   
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )   "
ham,No no. I will check all rooms befor activities   
ham,K go and sleep well. Take rest:-).   
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins   "
ham,Its worse if if uses half way then stops. Its better for him to complete it.   
ham,S...i will take mokka players only:)   
ham,"Sir, waiting for your letter.   "
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE   
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT   "
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.   "
ham,I am going to film 2day da. At 6pm. Sorry da.   
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+   
ham,I dont know oh. Hopefully this month.   
ham,Just seeing your missed call my dear brother. Do have a gr8 day.   
ham,In meeting da. I will call you   
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic   
ham,After completed degree. There is no use in joining finance.   
ham,Cps is causing the outages to conserve energy.   
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)   "
ham,Ok ill tell the company   
ham,Guess who spent all last night phasing in and out of the fourth dimension   
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic   "
ham,S but mostly not like that.   
ham,I will be outside office take all from there   
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com   
spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.   "
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again   
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '   "
spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text   "
ham,Change again... It's e one next to escalator...   
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow   
ham,I think the other two still need to get cash but we can def be ready by 9   
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month   
spam,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.   
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for   "
ham,I like cheap! But i‰Û÷m happy to splash out on the wine if it makes you feel better..   
ham,So how many days since then?   
ham,Going for dinner.msg you after.   
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!   
ham,"I sent you the prices and do you mean the  &lt;#&gt; g,   "
ham,Go fool dont cheat others ok   
ham,Jus finished avatar nigro   
ham,I hope your pee burns tonite.   
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com   
ham,645   
ham,How are you. Its been ages. How's abj   
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you   "
ham,Lol u still feeling sick?   
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.   
ham,I am not having her number sir   
ham,I finished my lunch already. U wake up already?   
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:   
ham,1 in cbe. 2 in chennai.   
ham,That means get the door   
ham,K.i did't see you.:)k:)where are you now?   
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c   
ham,"Sorry, I'll call later   "
ham,Do you want bold 2 or bb torch   
ham,Eh u send wrongly lar...   
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?   
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.    
ham,Alright took the morphine. Back in yo.   
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.   
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx   
ham,"Sorry,  in meeting I'll call you later   "
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?   
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..   
ham,Ya just telling abt tht incident..   
ham,I dont have that much image in class.   
ham,Carry on not disturbing both of you   
ham,Smith waste da.i wanna gayle.   
ham,Yes..gauti and sehwag out of odi series.   
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour   "
ham,I am late. I will be there at   
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.   "
ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!   
ham,K:)all the best:)congrats...   
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure   
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm   
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe   "
ham,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).   
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..   
ham,Pls speak with me. I wont ask anything other then you friendship.   
ham,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah   "
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""   "
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D   
ham,Dear how is chechi. Did you talk to her   
ham,Really? I crashed out cuddled on my sofa.   
ham,"I hav almost reached. Call, i m unable to connect u.   "
ham,Ok i've sent u da latest version of da project.   
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy   "
ham,"Right on brah, see you later   "
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""   "
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+   
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe   "
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon    
ham,Pls she needs to dat slowly or she will vomit more.   
